SITE_CODE,MSMT_DATE,GWE,LATITUDE,LONGITUDE
325536N1170608W001,2021-10-28 12:00:00,30.73,32.5536,-117.061
325910N1170835W006,2021-10-31 12:00:00,7.48,32.591,-117.084
326821N1171124W006,2021-10-31 12:00:00,2.77,32.6821,-117.112
327781N1171209W006,2021-10-28 12:00:00,41.72,32.7781,-117.121
327893N1169478W001,2021-10-28 11:52:00,451.48,32.7892,-116.949
328442N1169971W001,2021-11-03 09:57:00,315.12,32.8442,-116.997
328556N1169394W001,2021-10-28 12:59:00,356.45,32.8556,-116.939
328662N1169215W001,2021-11-02 14:30:00,363.0,32.8662,-116.921
328715N1169003W001,2021-10-19 13:00:00,385.09,32.8715,-116.9
329054N1169302W001,2021-10-28 12:41:00,424.9,32.9054,-116.93
329593N1169256W001,2021-10-28 14:21:00,368.62,32.8675,-116.926
330494N1170425W001,2021-10-28 09:01:00,316.08,33.0494,-117.043
330557N1170464W001,2021-10-28 00:00:00,310.39,33.0557,-117.046
330848N1170146W001,2021-10-28 09:23:00,335.94,33.0848,-117.015
330874N1169748W001,2021-10-28 12:00:00,333.11,33.0874,-116.975
330924N1169465W001,2021-10-28 09:47:00,360.68,33.0924,-116.947
330979N1170172W001,2021-10-28 00:00:00,356.79,33.0979,-117.017
331109N1161314W001,2021-10-21 00:00:00,0.66,33.111,-116.13
331560N1161680W001,2021-10-21 00:00:00,132.9,33.156,-116.168
331610N1162372W001,2021-10-21 00:00:00,484.9,33.161,-116.237
331981N1162959W001,2021-10-20 10:50:00,467.15,33.1981,-116.296
332032N1163143W001,2021-10-18 14:49:00,451.31,33.2032,-116.314
332114N1173775W001,2021-11-15 00:00:00,1.7,33.2114,-117.377
332116N1163340W001,2021-10-18 00:00:00,453.43,33.2116,-116.334
332266N1162794W001,2021-10-21 00:00:00,408.0,33.2266,-116.279
332316N1163887W001,2021-10-18 01:00:00,399.19,33.2316,-116.389
332367N1167165W001,2021-11-15 00:00:00,2700.82,33.2367,-116.717
332367N1167165W001,2021-10-15 00:00:00,2700.48,33.2367,-116.717
332367N1167165W001,2021-09-15 00:00:00,2700.7,33.2367,-116.717
332486N1166558W001,2021-11-15 00:00:00,2963.19,33.2486,-116.656
332486N1166558W001,2021-10-15 00:00:00,2955.77,33.2486,-116.656
332486N1166558W001,2021-09-15 00:00:00,2973.36,33.2486,-116.656
332509N1172990W001,2021-11-15 00:00:00,58.8,33.2509,-117.299
332574N1163559W001,2021-10-18 00:00:00,388.71,33.2574,-116.356
332575N1163710W001,2021-10-18 00:00:00,390.83,33.2575,-116.371
332576N1163131W001,2021-10-19 10:03:00,407.73,33.2576,-116.313
332742N1166846W001,2021-11-15 00:00:00,2796.05,33.2742,-116.685
332742N1166846W001,2021-10-15 00:00:00,2794.54,33.2742,-116.685
332742N1166846W001,2021-09-15 00:00:00,2794.68,33.2742,-116.685
332839N1167395W001,2021-11-15 00:00:00,2690.45,33.2839,-116.738
332839N1167395W001,2021-10-15 00:00:00,2689.89,33.2839,-116.738
332839N1167395W001,2021-09-15 00:00:00,2690.89,33.2839,-116.738
332867N1167043W001,2021-11-15 00:00:00,2699.08,33.287,-116.703
332867N1167043W001,2021-10-15 00:00:00,2702.0,33.287,-116.703
332867N1167043W001,2021-09-15 00:00:00,2703.34,33.287,-116.703
332993N1169389W001,2021-11-15 00:00:00,711.0,33.2937,-116.976
333006N1163495W001,2021-10-19 07:36:00,372.36,33.3006,-116.349
333103N1166879W001,2021-11-15 00:00:00,2886.84,33.3104,-116.687
333103N1166879W001,2021-10-15 00:00:00,2888.08,33.3104,-116.687
333103N1166879W001,2021-09-15 00:00:00,2887.99,33.3104,-116.687
333384N1171370W001,2021-10-29 00:00:00,310.8,33.3383,-117.135
333395N1170148W001,2021-11-15 00:00:00,546.0,33.3395,-117.015
333472N1170272W001,2021-10-29 00:00:00,557.2,33.3472,-117.027
334631N1171048W001,2021-11-07 12:00:00,995.47,33.4631,-117.105
334631N1171048W001,2021-10-03 12:00:00,991.95,33.4631,-117.105
334631N1171048W001,2021-09-05 12:00:00,993.74,33.4631,-117.105
334631N1171048W002,2021-11-07 12:00:00,1010.74,33.4631,-117.105
334631N1171048W002,2021-10-03 12:00:00,1010.77,33.4631,-117.105
